keys,en,description,
title.navbar.continue,Continue,continues the last savegame
title.navbar.newgame,New Game,starts a new game
title.navbar.options,Options,
title.navbar.updates,Updates,
title.navbar.updates.close,Close,
title.navbar.credits,Credits,
title.navbar.credits.close,Close,
title.navbar.quit,Quit to Desktop,
,,
options.title,OPTIONS,
options.game,Game,
options.game.screenshake,Screen Shake,
options.game.screenshake.shakeintensity,Shake Intensity,
options.game.screenshake.shakewhenmining,Shake When Mining,
options.game.tutorials,Tutorials,
options.game.tutorials.resettutorials,Reset Tutorials,
options.game.languages,Languages,
options.game.events,Events,
options.game.events.enableseasonal,enable seasonal content,
options.video,Video,
options.video.graphicsmode,Graphics Mode,
options.video.graphicsmode.window,Window,
options.video.graphicsmode.borderlesswindow,Borderless Window,
options.video.graphicsmode.fullscreen,Fullscreen,
options.video.graphicsmode.enablevsync,Enable VSync,
options.video.stretchmode,Stretch Mode,
options.video.stretchmode.rezised,Resized,
options.video.stretchmode.rezised.text,"Renders the game in the native screen or windowed resolution.
Will look sharp, but visual errors in the form of 1 pixel wide lines may appear.",
options.video.stretchmode.scaled,Scaled,
options.video.stretchmode.scaled.text,"Renders the game in a fixed resolution and scales it to your resolution.
Can be pixelated, especially in fonts, but there are no visual line errors.",
options.audio,Audio,
options.audio.volumes,Volumes,
options.audio.volumes.mastervolume,Master Volume,
options.audio.volumes.musicvolume,Music Volume,
options.audio.volumes.soundvolume,Sound Volume,
options.audio.volumes.ambiencevolume,Ambience Volume,
options.audio.music,Music,
options.audio.music.frequency,Frequentness (cycles without music),
options.input,Input,
options.input.controls,Controls,
options.input.controls.text,Plays best with Gamepad.,
options.input.controls.keybindings,Key Bindings,
options.input.gamepad,Gamepad,
options.input.gamepad.gamepadstickdeadzone,Thumbstick dead zone,
options.input.gamepad.gamepadstickdeadzone.motiondetected,motion detected:,
options.input.gamepad.gamepadstickdeadzone.text,"Set the value so that the bar does not flicker if you only touch thumbsticks, without pushing them.
If you push the thumbstick, the bar should flicker when moving the stick.",
options.input.gamepad.autoswitch,automatic detection of preferred gamepad,
options.input.vibration.strength,Vibration Strength,how much the controller vibrates
options.accessibility,Accessibility,options category for people with visual impairments or photosensitivity or such
options.video.graphicsmode.photosensitive,Photosensitivity Mode,
options.accessibility.photosensitivity.explanation,Reduces flickering lights.,
options.accessibility.highlightmonsters,Highlight Monsters,
options.accessibility.highlightmonsters.explanation,"Render a bright outline around monsters, for better visibility.",
options.accessibility.critters,Disable Critters,
options.accessibility.critters.explanation,"Disable worm, bug or spider like critters that spawn in the mine as visual effects.",
options.cancel,Cancel,
options.ok,OK,
options.keybindings.title,CONTROL MAPPING,
options.keybindings.text,"Edit the control mapping to your liking.
Keys from different sections can generally overlap without issue (like using the same keys to move your keeper and the dome weapon).",
options.keybindings.keyboard,Keyboard,
options.keybindings.gamepad,Gamepad,
options.keybindings.action,Action,
