key,bg_BG
loadout.prestige.title,Избери Вариация на Режим
upgrades.shieldbattleelectroblast.title,Електро Взрив
properties.orchard.battleshieldhp,Сила {} hp
options.keybindings.action.general.move,Движение
options.video.stretchmode.rezised,Преоразмеряване
level.gameover.unlock.world,Нов свят е отключен!
upgrades.blastminingwaterless.desc,"Не използва вода за произвеждане, но отнема повече време."
properties.blastmining.growthtime,Време за произвеждане {} цикъла
properties.laser.stun,Сила на Зашеметяване {}
exhibition.level.instruction,"Наитсни някой клавиш, за да продължиш да играеш!"
pause.godot,Направено с Godot
upgrades.orchardjetpack2.desc,"Increase the fruits speed boost, letting you move even faster."
upgrades.artillery.title,Артилерия
upgrades.condenser.desc,"Добавя машина под купола, която бавно произвежда вода чрез кондензация."
properties.lift.keeperupwardsspeed,Скорост на Личен Асансьор {}
level.tutorial.fullscreen.continue,продължи
upgrades.dome1damagereduction2.title,Заздравяване 2
upgrades.orchardduration2.title,Продължителност 2
upgrades.condenserautoovercharge.title,Auto Overcharge
upgrades.keeper2pinballreflectdamage2.title,Reflection Damage 2
loadout.title,ИЗБЕРИ СВОЯТ СТРОЕЖ
level.tutorial.teleporter_2,"Използвай Телепортиращата Станция, за да се телепортираш до Телепорта и обратното."
options.keybindings.action.general.up,Нагоре
loadout.secondstage.cancel,Отмяна
properties.keeper.domefuel,Добавено гориво {}
properties.shield.battleactivateondepletion,Активира умението при изчерпване на щита
loadout.difficulty.veryeasy,Обикновен
properties.sword.reflectprojectilesexplosive,Reflected Energy Projectiles are explosive
upgrades.swordlargeblade3.title,Тежко Острие 3
upgrades.orcharddrill2.title,Mining Boost 2
loadout.prestige.normal.description,"Изпращай ресурси извън света, за да придобиеш авторитет сред пазителите."
upgrades.keeper2pinballreflectdamage1.desc,Reflected spheres will deal much more damage to the rock they hit next.
options.input.gamepad,Геймпад
loadout.choices.locked,Не е отключено все още.
upgrades.condenserspeed1.desc,"Намалява необходимото време, което е нужно за кондензирането на една вода."
upgrades.shieldbattleinvulnerable.desc,Trigger an active combat ability that makes your dome invulnerable for a short time.
upgrades.domewavemeter.desc,Показва време до следващата атакуваща вълна на извънземни форми.
upgrades.keeper2pinballreflectspeedup2.title,Превъзхождащо Отразяване
upgrades.keeper2movement1.desc,"Подобрява твоят гравитационен генератор, за да се движиш по-бързо."
upgrades.repellentoverchargeduration2.desc,"After overcharging, the battle ability will last longer in the next wave."
