key,en_US
loadout.prestige.title,Choose a Mode Variation
upgrades.shieldbattleelectroblast.title,Electro Blast
properties.orchard.battleshieldhp,Strength {} hp
options.keybindings.action.general.move,Move
options.video.stretchmode.rezised,Resized
level.gameover.unlock.world,New world unlocked!
upgrades.blastminingwaterless.desc,"Does not use water for production anymore, but takes longer."
properties.blastmining.growthtime,Production time {} cycles
properties.laser.stun,Stun Strength {}
exhibition.level.instruction,Press anything to continue playing!
pause.godot,Made with Godot
upgrades.orchardjetpack2.desc,"Increase the fruits speed boost, letting you move even faster."
upgrades.artillery.title,Artillery
upgrades.condenser.desc,Adds a machine under the dome that slowly produces water through condensation.
properties.lift.keeperupwardsspeed,Keeper Lift Speed {}
level.tutorial.fullscreen.continue,continue
upgrades.dome1damagereduction2.title,Hardening 2
upgrades.orchardduration2.title,Duration 2
upgrades.condenserautoovercharge.title,Auto Overcharge
upgrades.keeper2pinballreflectdamage2.title,Reflection Damage 2
loadout.title,CHOOSE YOUR LOADOUT
level.tutorial.teleporter_2,"Use the Teleporter Station to teleport to the Portal, and vice versa."
options.keybindings.action.general.up,Up
level.converter.popup.cancel,Cancel
properties.keeper.domefuel,Add fuel {}
properties.shield.battleactivateondepletion,Activate ability on shield depletion
loadout.prestige.normal,Regular
properties.sword.reflectprojectilesexplosive,Reflected Energy Projectiles are explosive
upgrades.swordlargeblade3.title,Heavy Blade 3
upgrades.orcharddrill2.title,Mining Boost 2
loadout.prestige.normal.description,Send resources offworld to gain prestige among the keepers.
upgrades.keeper2pinballreflectdamage1.desc,Reflected spheres will deal much more damage to the rock they hit next.
options.input.gamepad,Gamepad
loadout.choices.locked,Not yet unlocked.
upgrades.condenserspeed1.desc,Reduces the time needed to condense one water.
upgrades.shieldbattleinvulnerable.desc,Trigger an active combat ability that makes your dome invulnerable for a short time.
upgrades.domewavemeter.desc,Displays the time until the next wave of hostile lifeforms attack.
upgrades.keeper2pinballreflectspeedup2.title,Superior Reflection
upgrades.keeper2movement1.desc,Improve your gravity generator to move faster.
upgrades.repellentoverchargeduration2.desc,"After overcharging, the battle ability will last longer in the next wave."
upgrades.laserhitprojectiles.desc,Hitting energy projectiles with the laser immediately dissolves them.
options.keybindings.action.keeper.pickup,Pick Up
upgrades.keeper2pinballdamage1.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.keeper2pinballdamage3.title,Kinetic Sphere Damage 3
options.video.graphicsmode.enablevsync,Enable VSync
options.translation.community,{completion}% finished
loadout.difficult.harder,harder
worldmodifier.resourcerichiron.desc,This world has a lot of iron.
loadout.miner.fuel,Enable the need to refuel your keepers movement aggregate with water.
upgrades.prestigeiron.title,Send Iron
upgrades.stunlaserspeed1.desc,The stun laser moves faster.
upgrades.keeper2pinballdamage2.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.drill1.title,Drill Strength 1
upgrades.prospectionmetersand2.title,Cobalt Compass
upgrades.dome1health1.desc,Permanently increase the structural health of your dome.
title.navbar.newgame,New Game
properties.repellent.overchargeduration,Increase Repellent production speed for {} cycles
properties.sword.retractspeed,Retract Speed {} 
upgrades.lasermove3.desc,Max laser movement speed.
upgrades.stunlaser.title,Stun Laser
options.keybindings.action.general.use,Use
worldmodifier.monsterfeeble.desc,"The monsters are more feeble, dealing less damage"
