key,id_ID
loadout.prestige.title,Choose a Mode Variation
upgrades.shieldbattleelectroblast.title,Ledakan Listrik
properties.orchard.battleshieldhp,Strength {} hp
level.station.battle.navbar.move,Move
options.video.stretchmode.rezised,Diubah ukuran
level.gameover.unlock.world,New world unlocked!
upgrades.blastminingwaterless.desc,"Does not use water for production anymore, but takes longer."
properties.blastmining.growthtime,Production time {} cycles
properties.laser.stun,Stun Strength {}
exhibition.level.instruction,Press anything to continue playing!
pause.godot,Made with Godot
upgrades.orchardjetpack2.desc,"Increase the fruits speed boost, letting you move even faster."
upgrades.artillery.title,Artileri
upgrades.condenser.desc,Adds a machine under the dome that slowly produces water through condensation.
properties.lift.keeperupwardsspeed,Keeper Lift Speed {}
level.tutorial.fullscreen.continue,continue
upgrades.dome1damagereduction2.title,Penebalan 2
upgrades.orchardduration2.title,Durasi 2
upgrades.condenserautoovercharge.title,Auto Overcharge
upgrades.keeper2pinballreflectdamage2.title,Reflection Damage 2
loadout.title,CHOOSE YOUR LOADOUT
level.tutorial.teleporter_2,"Use the Teleporter Station to teleport to the Portal, and vice versa."
options.keybindings.action.general.up,Atas
level.converter.popup.cancel,Cancel
properties.keeper.domefuel,Add fuel {}
properties.shield.battleactivateondepletion,Activate ability on shield depletion
loadout.prestige.normal,Regular
properties.sword.reflectprojectilesexplosive,Reflected Energy Projectiles are explosive
upgrades.swordlargeblade3.title,Pedang Berat 3
upgrades.orcharddrill2.title,Mining Boost 2
loadout.prestige.normal.description,Send resources offworld to gain prestige among the keepers.
upgrades.keeper2pinballreflectdamage1.desc,Reflected spheres will deal much more damage to the rock they hit next.
options.input.gamepad,Gamepad
loadout.choices.locked,Not yet unlocked.
upgrades.condenserspeed1.desc,Mengurangi waktu diperlukan untuk mengembun satu air.
upgrades.shieldbattleinvulnerable.desc,Trigger an active combat ability that makes your dome invulnerable for a short time.
upgrades.domewavemeter.desc,Tampilkan waktu sampai serangan gelombang kehidupan agresif selanjutnya.
upgrades.keeper2pinballreflectspeedup2.title,Superior Reflection
upgrades.keeper2movement1.desc,Improve your gravity generator to move faster.
upgrades.repellentoverchargeduration2.desc,"After overcharging, the battle ability will last longer in the next wave."
upgrades.laserhitprojectiles.desc,Mengkenakan proyektil energi dengan laser segera melarutkan mereka.
options.keybindings.action.keeper.pickup,Mengambil
upgrades.keeper2pinballdamage1.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.keeper2pinballdamage3.title,Kinetic Sphere Damage 3
options.video.graphicsmode.enablevsync,Izinkan Vsinkronisasi
options.translation.community,{completion}% telah selesai
loadout.difficult.harder,harder
worldmodifier.resourcerichiron.desc,This world has a lot of iron.
loadout.miner.fuel,Enable the need to refuel your keepers movement aggregate with water.
upgrades.prestigeiron.title,Kirim Besi
upgrades.stunlaserspeed1.desc,Laser Penyetrumnya bergerak lebih cepat.
upgrades.keeper2pinballdamage2.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.drill1.title,Kekuatan Bor 1
upgrades.prospectionmetersand2.title,Kompas Kobalt
upgrades.dome1health1.desc,Naikkan nyawa kubahmu secara permanen.
title.navbar.newgame,Gim Baru
properties.repellent.overchargeduration,Increase Repellent production speed for {} cycles
properties.sword.retractspeed,Retract Speed {} 
upgrades.lasermove3.desc,Gerakan laser maks.
upgrades.stunlaser.title,Laser Setrum
options.keybindings.action.general.use,Use
worldmodifier.monsterfeeble.desc,"The monsters are more feeble, dealing less damage"
upgrades.shield.desc,Pasang sebuah perisai yang akan menyerap beberapa kerusakan. Mengisi ulang secara otomatis.
options.video.stretchmode.rezised.text,"Menampilkan gimnya di layar asal atau resolusi di-window.
Akan kelihatan sangat tajam, tapi memungkinkan adanya kesalahan visual dalam bentuk garis 1 piksel lebar muncul."
upgrades.orchardbattlerootingexplosion.desc,"Trigger again to cause all trapped monsters to explode, dealing damage around them."
loadout.mapsize.small,Small
upgrades.probe.desc,Adds a probe to your suit which when triggered sends out a pulse that reveals nearby resources. Must be recharged at the station under the dome.
upgrades.swordlongblade1.desc,Pasang sebuah pedang lebih panjang dan lincah.
upgrades.dome1health1.title,Nyawa 1
upgrades.blastminingwaterless.title,Peledak tanpa Air
level.tutorial.assessor.carry,Gravity Collect
upgrades.liftspeed1.desc,Bolanya bergerak lebih cepat.
upgrades.shieldstrength1.desc,Tambahkan kerusakan yang perisai kubah bisa diserap.
upgrades.orchardbattleshieldsecondlayer.title,Double Layer Shield
upgrades.teleporterteleportresourcescooldown.desc,The portal can teleport resources more often.
options.input.gamepad.autoswitch,automatic detection of preferred gamepad
level.gameover.unlock.modifiers,World modifiers unlocked!
properties.sword.slicebrake,Speed Loss on Slice {.percent}
loadout.difficulty.veryeasy,Normal
properties.sword.sliceacceleration,Sword Speed {}
options.input.gamepad.gamepadstickdeadzone.text,"Mengantur nilainya untuk meterannya tidak berkedip jika kamu hanya sentuh stik jempol, tanpa menekan mereka.
Jika anda tekan stik jempolnya, meterannya seharusnya berkedip jika mengerakan stiknya."
options.accessibility.highlightmonsters.explanation,"Render a bright outline around monsters, for better visibility."
