key,pt_BR
loadout.prestige.title,Escolha uma variação de modo
upgrades.shieldbattleelectroblast.title,Explosão elétrica
properties.dome.maxhealth,Integridade: {} PV
options.keybindings.action.general.move,Mover-se
options.video.stretchmode.rezised,Redimensionado
level.gameover.unlock.world,Novo mundo desbloqueado!
upgrades.blastminingwaterless.desc,"A água não é mais necessária para a produção, mas a velocidade é reduzida."
properties.blastmining.growthtime,Tempo de produção: {} ciclos
properties.laser.stun,Força do atordoamento: {}
exhibition.level.instruction,Aperte qualquer botão para continuar jogando!
pause.godot,Criado com Godot
upgrades.orchardjetpack2.desc,"Aumenta o reforço de velocidade do fruto, permitindo que você se mova ainda mais rápido."
upgrades.artillery.title,Artilharia
upgrades.condenser.desc,Adiciona uma máquina sob a cúpula que lentamente produz água por condensação.
properties.lift.keeperupwardsspeed,Velocidade de Elevação do Guardião {}
level.tutorial.fullscreen.continue,continuar
upgrades.dome1damagereduction2.title,Reforço 2
upgrades.orchardduration2.title,Duração 2
upgrades.condenserautoovercharge.title,Sobrecarga Automática
upgrades.keeper2pinballreflectdamage2.title,Dano de reflexo 2
loadout.title,ESCOLHA SEU ARSENAL
level.tutorial.teleporter_2,Use a estação de teleporte para ir até o portal e vice-versa.
options.keybindings.action.general.up,Cima
level.converter.popup.cancel,Cancelar
properties.keeper.domefuel,Adicionar combustível {}
properties.shield.battleactivateondepletion,Ativa a habilidade ao esgotar o escudo
loadout.prestige.normal,Padrão
properties.sword.reflectprojectilesexplosive,Projéteis de energia refletidos são explosivos
upgrades.swordlargeblade3.title,Lâmina pesada 3
upgrades.orcharddrill2.title,Reforço de mineração 2
loadout.prestige.normal.description,Envie recursos para fora do planeta para ganhar prestígio entre os guardiões.
upgrades.keeper2pinballreflectdamage1.desc,As esferas refletidas causam muito mais dano à pedra que atingir depois.
options.input.gamepad,Controle
loadout.choices.locked,Ainda não desbloqueado
upgrades.condenserspeed1.desc,Reduz o tempo necessário para condensar uma unidade de água.
upgrades.shieldbattleinvulnerable.desc,Ativa uma habilidade de combate que torna sua cúpula invulnerável por um curto período.
upgrades.domewavemeter.desc,Mostra o tempo até a próxima onda de formas de vida hostis.
upgrades.keeper2pinballreflectspeedup2.title,Reflexo superior
upgrades.keeper2movement1.desc,Melhora o seu gerador de gravidade para mover-se mais rápido.
upgrades.repellentoverchargeduration2.desc,"Após sobrecarregar, a habilidade de batalha durará mais na onda seguinte."
upgrades.laserhitprojectiles.desc,Atingir projéteis de energia com o laser imediatamente os dissolve.
options.keybindings.action.keeper.pickup,Coletar
upgrades.keeper2pinballdamage1.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
upgrades.keeper2pinballdamage3.title,Dano de esfera cinética 3
options.video.graphicsmode.enablevsync,Habilitar Vsync
options.translation.community,Tradução da comunidade {completion}% concluída
loadout.difficult.harder,mais difícil
worldmodifier.resourcerichiron.desc,Este mundo tem muito ferro.
loadout.miner.fuel,Ativa a necessidade de reabastecer o agregado de movimento dos guardiões com água.
upgrades.prestigeiron.title,Enviar ferro
upgrades.stunlaserspeed1.desc,O laser atordoante se move mais rápido.
upgrades.keeper2pinballdamage2.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
upgrades.drill1.title,Força da broca 1
upgrades.prospectionmetersand2.title,Conserto de cobalto
upgrades.dome1health1.desc,Aumenta permanentemente a integridade estrutural da sua cúpula.
title.navbar.newgame,Novo Jogo
properties.repellent.overchargeduration,Aumenta a velocidade da produção de Repelente por {} ciclos
properties.sword.retractspeed,Velocidade da retração: {} 
upgrades.lasermove3.desc,O laser se move na velocidade máxima.
upgrades.stunlaser.title,Laser atordoante
options.keybindings.action.general.use,Usar
worldmodifier.monsterfeeble.desc,Os monstros são mais fracos e causam menos dano.
upgrades.shield.desc,Instala um escudo que absorverá parte do dano. Recarrega automaticamente.
options.video.stretchmode.rezised.text,"Renderiza o jogo na resolução nativa ou de janela.
Os gráficos ficarão definidos, mas erros visuais na forma de linhas de 1 pixel podem aparecer."
