key,th_TH
loadout.prestige.title,ปรับแต่งความหลากหลาย
upgrades.shieldbattleelectroblast.title,ระเบิดสายฟ้า
properties.dome.maxhealth,พลังชีวิต {} หน่วย
options.keybindings.action.general.move,เคลื่อนที่
options.video.stretchmode.rezised,ปรับขนาด
level.gameover.unlock.world,ปลดล็อคโลกใหม่!
upgrades.blastminingwaterless.desc,ไม่ใช้น้ำในการผลิตอีกต่อไป แต่ผลิตนานขึ้น
properties.blastmining.growthtime,เวลาการผลิต {} รอบ
properties.laser.stun,ความแรงสตั้น {}
exhibition.level.instruction,กดปุ่มกดปุ่มใดก็ได้ เพื่อเล่นต่อ
pause.godot,สร้างโดย Godot
upgrades.orchardjetpack2.desc,บัพผลไม้เพิ่มความเร็วการเคลื่อนที่ให้เร็วมากขึ้น
upgrades.artillery.title,ปืนใหญ่
upgrades.condenser.desc,ติดตั้งเครื่องกลั่นใต้โดมเพื่อผลิตทรัพยากรน้ำด้วยการกลั่น
properties.lift.keeperupwardsspeed,ความเร็วผู้พิทักษ์ขณะอยู่บนลิฟต์ {}
level.tutorial.fullscreen.continue,เล่นต่อ
upgrades.dome1damagereduction2.title,เคลือบแข็ง 2
upgrades.orchardduration2.title,ระยะเวลา 2
upgrades.condenserautoovercharge.title,โอเวอร์ชาร์จอัตโนมัติ
upgrades.keeper2pinballreflectdamage2.title,ดาเมจสะท้อน 2
loadout.title,CHOOSE YOUR LOADOUT
level.tutorial.teleporter_2,ใช้วาร์ปที่สถานีเพื่อวาร์ปไปหาประตูวาร์ป หรือจะย้อนกลับก็ได้
options.keybindings.action.general.up,ขึ้น
level.converter.popup.cancel,ยกเลิก
properties.keeper.domefuel,เติมเชื้อเพลิง {}
properties.shield.battleactivateondepletion,เปิดใช้สกิลเมื่อเกราะหมดลง
loadout.difficulty.veryeasy,ปานกลาง
properties.sword.reflectprojectilesexplosive,สะท้อนการโจมตีและระเบิดออก
upgrades.swordlargeblade3.title,ดาบยักษ์ 3
upgrades.orcharddrill2.title,เสริมพลังขุด 2
loadout.prestige.normal.description,ส่งทรัพยากรเพื่อรับแต้มเกียรติยศแด่หมู่ผู้พิทักษ์
upgrades.keeper2pinballreflectdamage1.desc,สะท้อนบอลพลังงานออกไปทำความเสียหายมากขึ้นในการกระทบครั้งถัดไป
options.input.gamepad,จอยสติ๊ก
loadout.choices.locked,ยังไม่ปลดล็อก
upgrades.condenserspeed1.desc,ลดเวลาที่ใช้ในการสร้างทรัพยากรน้ำ 1 หยด
upgrades.shieldbattleinvulnerable.desc,เปิดใช้สกิลต่อสู้เพื่อทำให้โดมไม่ได้รับความเสียหายชั่วคราว
upgrades.domewavemeter.desc,แสดงเวลาจนกระทั่งการจู่โจมรอบถัดไปของศัตรูจะมาถึง
upgrades.keeper2pinballreflectspeedup2.title,สะท้อนขั้นสูง
upgrades.keeper2movement1.desc,เพิ่มประสิทธิภาพของเครื่องกำเนิดแรงโน้มถ่วงเพื่อคลื่อนที่อย่างรวดเร็ว
upgrades.repellentoverchargeduration2.desc,หลังจากเปิดใช้งานโอเวอร์ชาร์จจะทำให้สกิลต่อสู้ของคุณในการจู่โจมถัดไปมีระยะเวลานานมากขึ้น
upgrades.laserhitprojectiles.desc,ทำลายการโจมตีของศัตรูด้วยเลเซอร์
options.keybindings.action.keeper.pickup,ยกของ
upgrades.keeper2pinballdamage1.desc,เพิ่มดาเมจให้กับบอลพลังงานเมื่อกระแทกกับหิน และยังเพิ่มดาเมจให้กับการขุดแบบหมุนอีกด้วย
upgrades.keeper2pinballdamage3.title,เพิ่มความแรงบอลพลังงาน 3
options.video.graphicsmode.enablevsync,เปิด VSync
options.translation.community,เสร็จไปแล้ว {completion}%
loadout.difficult.harder,ยากขึ้น
worldmodifier.resourcerichiron.desc,โลกนี้มีทรัพยากรเหล็กจำนวนมาก
loadout.miner.fuel,เติมเชื้อเพลิงของผู้พิทักษ์ด้วยน้ำ
upgrades.prestigeiron.title,ส่ง เหล็ก
upgrades.stunlaserspeed1.desc,สตั้นเลเซอร์เคลื่อนที่เร็วขึ้น
upgrades.keeper2pinballdamage2.desc,เพิ่มดาเมจให้กับบอลพลังงานเมื่อกระแทกกับหิน และยังเพิ่มดาเมจให้กับการขุดแบบหมุนอีกด้วย
upgrades.drill1.title,ความแรงสว่าน 1
upgrades.prospectionmetersand2.title,เข็มทิศ โคบอล์ท
upgrades.dome1health1.desc,เพิ่มความแข็งแรงให้กับโครงสร้างโดมอย่างถาวร
loadout.secondstage.start,เริ่มเกม
properties.repellent.overchargeduration,เพิ่มความเร็วการผลิตสารขับไล่ {} รอบ
properties.sword.retractspeed,ความเร็วการถอย {} 
upgrades.lasermove3.desc,เพิ่มความเร็วเลเซอร์สูงสุด
upgrades.stunlaser.title,สตั้นเลเซอร์
options.keybindings.action.general.use,ใช้
worldmodifier.monsterfeeble.desc,มอนสเตอร์มีดาเมจน้อยลง
upgrades.shield.desc,ติดตั้งเกราะป้องกันให้กับโดมเพื่อดูดซับความเสียหาย และรีชาร์จโดยอัตโนมัติ
options.video.stretchmode.rezised.text,"เรนเดอร์เกมด้วยความคมชัดดั้งเดิมของหน้าจอ
ภาพที่ได้จะคมมากขึ้น แต่อาจจะมีข้อผิดพลาดเกิดเส้นขนาด 1 พิกเซลขึ้นได้"
upgrades.orchardbattlerootingexplosion.desc,เปิดใช้งานอีกครั้งเพื่อระเบิดมอนสเตอร์ที่ติดกับดัก ระเบิดทำความเสียหายบริเวณใกล้เคียงด้วย
loadout.mapsize.small,เล็ก
upgrades.probe.desc,ติดตั้งสแกนเนอร์กับชุดเมื่อเปิดใช้งานจะส่งคลื่นออกไปเพื่อหาตำแหน่งของทรัพยากรบริเวณใกล้เคียง จำเป็นต้องชาร์จใหม่อีกครั้งที่จุดชาร์จในโดม
upgrades.swordlongblade1.desc,ติดตั้งดาบที่ยาวขึ้น และเร็วขึ้น
upgrades.dome1health1.title,พลังชีวิต 1
upgrades.blastminingwaterless.title,ไม่ใช้น้ำ
level.tutorial.assessor.carry,รวบรวมแรงโน้มถ่วง
upgrades.liftspeed1.desc,ลูกแก้วเคลื่อนที่เร็วขึ้น
